nom;mode;operateur
5199;Bus;Francilité Saint-Quentin-en-Yvelines
428;Bus;Transdev Côteaux de la Marne
427;Bus;Transdev Côteaux de la Marne
4115;Bus;Keolis Val d'Yerres Val de Seine
4119;Bus;Keolis Val d'Yerres Val de Seine
4158;Bus;Keolis Val d'Yerres Val de Seine
4134;Bus;Keolis Val d'Yerres Val de Seine
450;Bus;Transdev Côteaux de la Marne
4111;Bus;Keolis Val d'Yerres Val de Seine
4131;Bus;Keolis Val d'Yerres Val de Seine
4154;Bus;Keolis Val d'Yerres Val de Seine
4133;Bus;Keolis Val d'Yerres Val de Seine
4132;Bus;Keolis Val d'Yerres Val de Seine
4110;Bus;Keolis Val d'Yerres Val de Seine
429;Bus;Transdev Côteaux de la Marne
449;Bus;Transdev Côteaux de la Marne
4130;Bus;Keolis Val d'Yerres Val de Seine
4135;Bus;Keolis Val d'Yerres Val de Seine
4152;Bus;Keolis Val d'Yerres Val de Seine
4153;Bus;Keolis Val d'Yerres Val de Seine
4120;Bus;Keolis Val d'Yerres Val de Seine
1304;Bus;Keolis Nord Val d’Oise
1303;Bus;Keolis Nord Val d’Oise
1309;Bus;Keolis Nord Val d’Oise
82;Bus;RATP
83;Bus;RATP
84;Bus;RATP
85;Bus;RATP
6204;Bus;Transdev Versailles
6205;Bus;Transdev Versailles
6206;Bus;Transdev Versailles
6207;Bus;Transdev Versailles
6208;Bus;Transdev Versailles
6209;Bus;Transdev Versailles
6210;Bus;Transdev Versailles
6135;Bus;Keolis Vélizy Vallée de la Bièvre
6136;Bus;Keolis Vélizy Vallée de la Bièvre
6213;Bus;Transdev Versailles
6171;Bus;Keolis Vélizy Vallée de la Bièvre
6172;Bus;Keolis Vélizy Vallée de la Bièvre
6173;Bus;Keolis Vélizy Vallée de la Bièvre
6174;Bus;Keolis Vélizy Vallée de la Bièvre
6285;Bus;Transdev Versailles
6286;Bus;Transdev Versailles
5421;Bus;RD Mantois
5465;Bus;RD Mantois
5424;Bus;RD Mantois
5467;Bus;RD Mantois
5409;Bus;RD Mantois
5455;Bus;RD Mantois
5476;Bus;RD Mantois
5447;Bus;RD Mantois
5478;Bus;RD Mantois
TILLBUS;Bus;RATP
BATIGNO;Bus;RATP
NEY-FLA;Bus;RATP
520;Bus;RATP
MONTBUS;Bus;Transdev Vallée Sud
AUDONIE;Bus;RATP
EOLIEN;Bus;RATP
AS;Bus;RATP
TUB;Bus;RATP
559;Bus;RATP
V4;Bus;RATP
564;Bus;RATP
565;Bus;RATP
TIM;Bus;Mobicité
SUBB;Bus;Mobicité
TUC;Bus;RATP
RIVER;Bus;RATP
CLAM;Bus;Transdev Vallée Sud
V3;Bus;RATP
CHOISYBUS;Bus;Paris Seine Mobilités
V2;Bus;RATP
V5;Bus;RATP
V7;Bus;RATP
TUVIM CV;Bus;Mobicité
AMIBUS;Bus;Transdev Vallée Sud
67E;Bus;Transdev Brie et 2 Morin
4551;Bus;Transdev Cœur Essonne
4552;Bus;Transdev Cœur Essonne
4582;Bus;Transdev Cœur Essonne
4576;Bus;Transdev Cœur Essonne
4578;Bus;Transdev Cœur Essonne
4439;Bus;Francilité Ouest Essonne
4438;Bus;Francilité Ouest Essonne
4440;Bus;Francilité Ouest Essonne
4570;Bus;Transdev Cœur Essonne
4555;Bus;Transdev Cœur Essonne
4459;Bus;Francilité Ouest Essonne
4412;Bus;Francilité Ouest Essonne
4401;Bus;Francilité Ouest Essonne
4402;Bus;Francilité Ouest Essonne
4407;Bus;Francilité Ouest Essonne
4408;Bus;Francilité Ouest Essonne
4410;Bus;Francilité Ouest Essonne
4403;Bus;Francilité Ouest Essonne
4405;Bus;Francilité Ouest Essonne
4409;Bus;Francilité Ouest Essonne
4231;Bus;TISSE
4271;Bus;TISSE
4232;Bus;TISSE
3754;Bus;Transdev Senart
3779;Bus;Transdev Senart
3775;Bus;Transdev Senart
3703;Bus;Transdev Senart
3753;Bus;Transdev Senart
3711;Bus;Transdev Senart
3712;Bus;Transdev Senart
3713;Bus;Transdev Senart
3736;Bus;Transdev Senart
3741;Bus;Transdev Senart
3742;Bus;Transdev Senart
3743;Bus;Transdev Senart
3744;Bus;Transdev Senart
Tzen1;Bus;Transdev Senart
3774;Bus;Transdev Senart
3714;Bus;Transdev Senart
3704;Bus;Transdev Senart
3722;Bus;Transdev Senart
3725;Bus;Transdev Senart
3724;Bus;Transdev Senart
3726;Bus;Transdev Senart
3723;Bus;Transdev Senart
3732;Bus;Transdev Senart
4622;Bus;RD Saclay
6164;Bus;Keolis Vélizy Vallée de la Bièvre
6161;Bus;Keolis Vélizy Vallée de la Bièvre
6162;Bus;Keolis Vélizy Vallée de la Bièvre
4571;Bus;Transdev Cœur Essonne
4572;Bus;Transdev Cœur Essonne
4573;Bus;Transdev Cœur Essonne
4574;Bus;Transdev Cœur Essonne
4436;Bus;Francilité Ouest Essonne
30-47;Bus;Francilité Val Parisis
487;Bus;RATP
DM11E;Bus;RD Saclay
Filéo SF;Bus;Keolis Roissy Pays de France Ouest
2228;Bus;Transdev Marne-la-Vallée
4240;Bus;TISSE
13A;Bus;Transdev Brie et 2 Morin
13B;Bus;Transdev Brie et 2 Morin
8;Bus;Keolis Grand Paris Vallée de la Marne
5253;Bus;Transdev Sud Yvelines
5277;Bus;Transdev Sud Yvelines
5307;Bus;Transdev Sud Yvelines
3210;Bus;Francilité Grand Provinois
3217;Bus;Francilité Grand Provinois
4502;Bus;Transdev Cœur Essonne
3203;Bus;Francilité Grand Provinois
5197;Bus;Francilité Saint-Quentin-en-Yvelines
3705;Bus;Transdev Senart
4216;Bus;TISSE
4583;Bus;Transdev Cœur Essonne
1222;Bus;Francilité Seine et Oise
5131;Bus;Francilité Saint-Quentin-en-Yvelines
5130;Bus;Francilité Saint-Quentin-en-Yvelines
35;Bus;RATP
3;Bus;Keolis Argenteuil Boucles de Seine
1221;Bus;Francilité Seine et Oise
3308;Bus;Francilité Pays de Montereau
6131;Bus;Keolis Vélizy Vallée de la Bièvre
6177;Bus;Keolis Vélizy Vallée de la Bièvre
6184;Bus;Keolis Vélizy Vallée de la Bièvre
6179;Bus;Keolis Vélizy Vallée de la Bièvre
6180;Bus;Keolis Vélizy Vallée de la Bièvre
6181;Bus;Keolis Vélizy Vallée de la Bièvre
6182;Bus;Keolis Vélizy Vallée de la Bièvre
247;Bus;RATP
248;Bus;RATP
4602;Bus;RD Saclay
4621;Bus;RD Saclay
5102;Bus;Francilité Saint-Quentin-en-Yvelines
5115;Bus;Francilité Saint-Quentin-en-Yvelines
5111;Bus;Francilité Saint-Quentin-en-Yvelines
6243;Bus;Transdev Versailles
6251;Bus;Transdev Versailles
5288;Bus;Transdev Sud Yvelines
30-48;Bus;Francilité Val Parisis
30-46;Bus;Francilité Val Parisis
30-07;Bus;Francilité Val Parisis
2224;Bus;Transdev Marne-la-Vallée
P'TIT BUS;Bus;Paris Seine Mobilités
F;Bus;Autocars Dominique
H;Bus;Autocars Dominique
L;Bus;Autocars Dominique
6284;Bus;Transdev Versailles
6516;Bus;Keolis Seine et Oise Est
3408;Bus;Transdev Pays de Fontainebleau
5401;Bus;RD Mantois
4532;Bus;Transdev Cœur Essonne
7812;Bus;Transdev Sud Yvelines
5349;Bus;Transdev Sud Yvelines
5249;Bus;Transdev Sud Yvelines
5259;Bus;Transdev Sud Yvelines
5379;Bus;Transdev Sud Yvelines
4219;Bus;TISSE
N132;Bus;Transdev Pays de Fontainebleau
N130;Bus;Transdev Brie et 2 Morin
N151;Bus;RD Mantois
N131;Bus;Transdev Cœur Essonne
N150;Bus;Transdev Vexin
N140;Bus;Keolis Roissy Pays de France Ouest
N141;Bus;Transdev Marne-et-Ourcq
N142;Bus;Keolis Portes et Val de Brie
N152;Bus;Transdev Vexin
N134;Bus;Keolis Val d'Yerres Val de Seine
N135;Bus;Keolis Val d'Yerres Val de Seine
N139;Bus;TISSE
N161;Bus;Transdev Sud Yvelines
N154;Bus;Transdev Vexin
N133;Bus;Keolis Val d'Yerres Val de Seine
S1;Bus;RD Saclay
S3;Bus;RD Saclay
S4;Bus;RD Saclay
418;Bus;RD Bièvre
415;Bus;RD Bièvre
1301;Bus;Keolis Nord Val d’Oise
1302;Bus;Keolis Nord Val d’Oise
1356;Bus;Keolis Nord Val d’Oise
4517;Bus;Transdev Cœur Essonne
4280;Bus;TISSE
4518;Bus;Transdev Cœur Essonne
4539;Bus;Transdev Cœur Essonne
DM10A;Bus;RD Saclay
DM10S;Bus;RD Saclay
DM11G;Bus;RD Saclay
DM11A;Bus;RD Saclay
DM12;Bus;RD Saclay
4543;Bus;Transdev Cœur Essonne
4537;Bus;Transdev Cœur Essonne
4542;Bus;Transdev Cœur Essonne
17;Bus;RD Saclay
4538;Bus;Transdev Cœur Essonne
4550;Bus;Transdev Cœur Essonne
4521;Bus;Transdev Cœur Essonne
4522;Bus;Transdev Cœur Essonne
4223;Bus;TISSE
DM11C;Bus;RD Saclay
4556;Bus;Transdev Cœur Essonne
9115;Bus;Transdev Cœur Essonne
4503;Bus;Transdev Cœur Essonne
6201;Bus;Transdev Versailles
6202;Bus;Transdev Versailles
6203;Bus;Transdev Versailles
1202;Bus;Francilité Seine et Oise
1223;Bus;Francilité Seine et Oise
1224;Bus;Francilité Seine et Oise
1201;Bus;Francilité Seine et Oise
1237;Bus;Francilité Seine et Oise
1207;Bus;Francilité Seine et Oise
1208;Bus;Francilité Seine et Oise
1226;Bus;Francilité Seine et Oise
1232;Bus;Francilité Seine et Oise
1228;Bus;Francilité Seine et Oise
1241;Bus;Francilité Seine et Oise
1242;Bus;Francilité Seine et Oise
3409;Bus;Transdev Pays de Fontainebleau
3405;Bus;Transdev Pays de Fontainebleau
3406;Bus;Transdev Pays de Fontainebleau
3441;Bus;Transdev Pays de Fontainebleau
3442;Bus;Transdev Pays de Fontainebleau
3444;Bus;Transdev Pays de Fontainebleau
3445;Bus;Transdev Pays de Fontainebleau
3401;Bus;Transdev Pays de Fontainebleau
3404;Bus;Transdev Pays de Fontainebleau
3403;Bus;Transdev Pays de Fontainebleau
3412;Bus;Transdev Pays de Fontainebleau
46;Bus;Francilité Pays de Montereau
3439;Bus;Transdev Pays de Fontainebleau
5479;Bus;RD Mantois
5480;Bus;RD Mantois
5422;Bus;RD Mantois
5486;Bus;RD Mantois
5482;Bus;RD Mantois
5457;Bus;RD Mantois
5451;Bus;RD Mantois
5452;Bus;RD Mantois
5469;Bus;RD Mantois
5470;Bus;RD Mantois
7822;Bus;Keolis Seine et Oise Est
5438;Bus;RD Mantois
5490;Bus;RD Mantois
5448;Bus;RD Mantois
5489;Bus;RD Mantois
5491;Bus;RD Mantois
5458;Bus;RD Mantois
1230;Bus;Francilité Seine et Oise
1203;Bus;Francilité Seine et Oise
1206;Bus;Francilité Seine et Oise
1236;Bus;Francilité Seine et Oise
1238;Bus;Francilité Seine et Oise
1239;Bus;Francilité Seine et Oise
1240;Bus;Francilité Seine et Oise
3633;Bus;Transdev Melun
3106;Bus;Keolis Portes et Val de Brie
3443;Bus;Transdev Pays de Fontainebleau
3665;Bus;Transdev Melun
34;Bus;Transdev Vallée du Loing
3432;Bus;Transdev Pays de Fontainebleau
3431;Bus;Transdev Pays de Fontainebleau
3503;Bus;Transdev Vallée du Loing
3530;Bus;Transdev Vallée du Loing
3534;Bus;Transdev Vallée du Loing
3540;Bus;Transdev Vallée du Loing
3543;Bus;Transdev Vallée du Loing
3510;Bus;Transdev Vallée du Loing
3515;Bus;Transdev Vallée du Loing
3518;Bus;Transdev Vallée du Loing
3437;Bus;Transdev Pays de Fontainebleau
3536;Bus;Transdev Vallée du Loing
3544;Bus;Transdev Vallée du Loing
3501;Bus;Transdev Vallée du Loing
3502;Bus;Transdev Vallée du Loing
3504;Bus;Transdev Vallée du Loing
3505;Bus;Transdev Vallée du Loing
7715;Bus;Transdev Senart
3751;Bus;Transdev Senart
3755;Bus;Transdev Senart
T1;Tramway;RATP
T2;Tramway;RATP
T3a;Tramway;RATP
T3b;Tramway;RATP
T5;Tramway;RATP
T7;Tramway;RATP
T6;Tramway;RATP
T8;Tramway;RATP
T4;Tramway;STRETTO
T11;Tramway;STRETTO
T9;Tramway;Keolis Ouest Val-de-Marne
T13;Tramway;SNCF
T10;Tramway;RD Bièvre
T12;Tramway;SNCF
1;Metro;RATP
2;Metro;RATP
3;Metro;RATP
4;Metro;RATP
5;Metro;RATP
6;Metro;RATP
7;Metro;RATP
8;Metro;RATP
201;Bus;RATP
203;Bus;RATP
206;Bus;RATP
207;Bus;RATP
208;Bus;RATP
210;Bus;RATP
211;Bus;RATP
212;Bus;RATP
213;Bus;RATP
214;Bus;RATP
215;Bus;RATP
216;Bus;RATP
217;Bus;RATP
220;Bus;RATP
221;Bus;RATP
234;Bus;RATP
235;Bus;RATP
237;Bus;RATP
238;Bus;RATP
239;Bus;RATP
241;Bus;RATP
244;Bus;RATP
249;Bus;RATP
250;Bus;RATP
251;Bus;RATP
D;Bus;Keolis Grand Paris Vallée de la Marne
B;Bus;Keolis Grand Paris Vallée de la Marne
C;Bus;Keolis Grand Paris Vallée de la Marne
6132;Bus;Keolis Vélizy Vallée de la Bièvre
6175;Bus;Keolis Vélizy Vallée de la Bièvre
6178;Bus;Keolis Vélizy Vallée de la Bièvre
6133;Bus;Keolis Vélizy Vallée de la Bièvre
6124;Bus;Keolis Vélizy Vallée de la Bièvre
60;Bus;RD Saclay
6140;Bus;Keolis Vélizy Vallée de la Bièvre
6142;Bus;Keolis Vélizy Vallée de la Bièvre
6123;Bus;Keolis Vélizy Vallée de la Bièvre
6145;Bus;Keolis Vélizy Vallée de la Bièvre
6122;Bus;Keolis Vélizy Vallée de la Bièvre
5332;Bus;Transdev Sud Yvelines
5209;Bus;Transdev Sud Yvelines
5213;Bus;Transdev Sud Yvelines
5116;Bus;Francilité Express Ouest
7806;Bus;Transdev Sud Yvelines
5367;Bus;Transdev Sud Yvelines
20;Bus;RD Saclay
3;Bus;RD Saclay
4;Bus;RD Saclay
5;Bus;RD Saclay
7;Bus;RD Saclay
8;Bus;RD Saclay
1;Bus;RD Saclay
14;Bus;RD Saclay
S15;Bus;RD Saclay
16;Bus;RD Saclay
19;Bus;RD Saclay
4437;Bus;Francilité Ouest Essonne
4553;Bus;Transdev Cœur Essonne
437;Bus;Transdev Côteaux de la Marne
438;Bus;Transdev Côteaux de la Marne
4511;Bus;Transdev Cœur Essonne
4512;Bus;Transdev Cœur Essonne
4514;Bus;Transdev Cœur Essonne
4501;Bus;Transdev Cœur Essonne
4305;Bus;Keolis Val d'Essonne Deux Vallées
114;Bus;RD Saclay
4515;Bus;Transdev Cœur Essonne
4442;Bus;Francilité Ouest Essonne
4441;Bus;Francilité Ouest Essonne
4323;Bus;Keolis Val d'Essonne Deux Vallées
4324;Bus;Keolis Val d'Essonne Deux Vallées
4325;Bus;Keolis Val d'Essonne Deux Vallées
4510;Bus;Transdev Cœur Essonne
4413;Bus;Francilité Ouest Essonne
439;Bus;Transdev Côteaux de la Marne
3727;Bus;Transdev Senart
382;Bus;RATP
4524;Bus;Transdev Cœur Essonne
1517;Bus;Transdev Valmy
1527;Bus;Transdev Valmy
Soir;Bus;Transdev Valmy
TàD 4591;Bus;Transdev Cœur Essonne
TàD 4592;Bus;Transdev Cœur Essonne
TàD 4595;Bus;Transdev Cœur Essonne
T13;Bus;SNCF
4411;Bus;Francilité Ouest Essonne
4414;Bus;Francilité Ouest Essonne
4415;Bus;Francilité Ouest Essonne
Soir;Bus;Francilité Ouest Essonne
Soir;Bus;Keolis Roissy Pays de France Est
6185;Bus;Keolis Vélizy Vallée de la Bièvre
5441;Bus;RD Mantois
5411;Bus;RD Mantois
5322;Bus;Transdev Sud Yvelines
6288;Bus;Transdev Versailles
TàD;Bus;Keolis Vélizy Vallée de la Bièvre
TàD;Bus;Transdev Marne-et-Ourcq
4215;Bus;TISSE
4270;Bus;TISSE
4278;Bus;TISSE
4279;Bus;TISSE
4222;Bus;TISSE
5297;Bus;Transdev Sud Yvelines
5296;Bus;Transdev Sud Yvelines
277;Bus;RATP
363;Bus;RATP
Soir;Bus;Transdev Vallée du Loing
Soir;Bus;Keolis Val d'Yerres Val de Seine
4157;Bus;Keolis Val d'Yerres Val de Seine
1433;Bus;Francilité Val Parisis
6535;Bus;Keolis Seine et Oise Est
6550;Bus;Keolis Seine et Oise Est
6577;Bus;Keolis Seine et Oise Est
6578;Bus;Keolis Seine et Oise Est
N146;Bus;Keolis Roissy Pays de France Ouest
R121;Bus;Keolis Roissy Pays de France Ouest
Soir;Bus;Keolis Roissy Pays de France Ouest
R9;Bus;Keolis Roissy Pays de France Ouest
4347;Bus;Keolis Val d'Essonne Deux Vallées
4348;Bus;Keolis Val d'Essonne Deux Vallées
4349;Bus;Keolis Val d'Essonne Deux Vallées
3559;Bus;Transdev Vallée du Loing
3452;Bus;Transdev Pays de Fontainebleau
11;Bus;Transdev Boucle des Lys
12;Bus;Transdev Boucle des Lys
3102;Bus;Keolis Portes et Val de Brie
Gs;Bus;Transdev Marne-et-Ourcq
3108;Bus;Keolis Portes et Val de Brie
3141;Bus;Keolis Portes et Val de Brie
3142;Bus;Keolis Portes et Val de Brie
W;Bus;Autocars Dominique
N147;Bus;Keolis Nord Val d’Oise
1235;Bus;Francilité Seine et Oise
Soir;Bus;Keolis Seine et Oise Est
N;Bus;Keolis Argenteuil Boucles de Seine
6572;Bus;Keolis Seine et Oise Est
6574;Bus;Keolis Seine et Oise Est
6575;Bus;Keolis Seine et Oise Est
6501;Bus;Keolis Seine et Oise Est
6502;Bus;Keolis Seine et Oise Est
6505;Bus;Keolis Seine et Oise Est
6506;Bus;Keolis Seine et Oise Est
6507;Bus;Keolis Seine et Oise Est
6513;Bus;Keolis Seine et Oise Est
6514;Bus;Keolis Seine et Oise Est
Soir;Bus;Francilité Pays de Montereau
TàD;Bus;Francilité Grand Provinois
Soir;Bus;Francilité Grand Provinois
TàD;Bus;Keolis Seine et Oise Est
N137;Bus;Transdev Pays de Fontainebleau
Soir;Bus;Transdev Pays de Fontainebleau
T12;Bus;SNCF
R;Bus;Autocars Dominique
4318;Bus;Keolis Val d'Essonne Deux Vallées
6595;Bus;Keolis Seine et Oise Est
6515;Bus;Keolis Seine et Oise Est
311;Bus;RATP
6524;Bus;Keolis Seine et Oise Est
6519;Bus;Keolis Seine et Oise Est
6525;Bus;Keolis Seine et Oise Est
6590;Bus;Keolis Seine et Oise Est
6592;Bus;Keolis Seine et Oise Est
6594;Bus;Keolis Seine et Oise Est
6551;Bus;Keolis Seine et Oise Est
6552;Bus;Keolis Seine et Oise Est
6553;Bus;Keolis Seine et Oise Est
6554;Bus;Keolis Seine et Oise Est
6555;Bus;Keolis Seine et Oise Est
6556;Bus;Keolis Seine et Oise Est
6557;Bus;Keolis Seine et Oise Est
